code,date,value,,,,
VIX,28/02/1992,16.68,,,,
VIX,02/03/1992,16.88,,,,
VIX,03/03/1992,17.26,,,,
VIX,04/03/1992,17.89,,,,
VIX,05/03/1992,18.47,,,,
VIX,06/03/1992,19.75,,,,
VIX,09/03/1992,19.68,,,,
VIX,10/03/1992,18.68,,,,
VIX,11/03/1992,19.79,,,,
VIX,12/03/1992,19.72,,,,
VIX,13/03/1992,18.35,,,,
VIX,16/03/1992,18.46,,,,
VIX,17/03/1992,16.79,,,,
VIX,18/03/1992,16.69,,,,
VIX,19/03/1992,16.52,,,,
VIX,20/03/1992,16.82,,,,
VIX,23/03/1992,16.73,,,,
VIX,24/03/1992,16.32,,,,
VIX,25/03/1992,16.19,,,,
VIX,26/03/1992,16.29,,,,
VIX,27/03/1992,16.02,,,,
VIX,30/03/1992,15.97,,,,
VIX,31/03/1992,16.18,,,,
VIX,01/04/1992,16.48,,,,
VIX,02/04/1992,17.06,,,,
VIX,03/04/1992,16.72,,,,
VIX,06/04/1992,16.72,,,,
VIX,07/04/1992,18.81,,,,
VIX,08/04/1992,20.15,,,,
VIX,09/04/1992,17.89,,,,
VIX,10/04/1992,16.85,,,,
VIX,13/04/1992,16.99,,,,
VIX,14/04/1992,15.98,,,,
VIX,15/04/1992,15.15,,,,
VIX,16/04/1992,14.85,,,,
VIX,17/04/1992,.,,,,
VIX,20/04/1992,15.93,,,,
VIX,21/04/1992,16.53,,,,
VIX,22/04/1992,15.96,,,,
VIX,23/04/1992,15.83,,,,
VIX,24/04/1992,15.71,,,,
VIX,27/04/1992,16.49,,,,
VIX,28/04/1992,16.24,,,,
VIX,29/04/1992,15.95,,,,
VIX,30/04/1992,15.53,,,,
VIX,01/05/1992,16.61,,,,
VIX,04/05/1992,16.92,,,,
VIX,05/05/1992,16.66,,,,
VIX,06/05/1992,16.81,,,,
VIX,07/05/1992,16.54,,,,
VIX,08/05/1992,15.65,,,,
VIX,11/05/1992,15.17,,,,
VIX,12/05/1992,15.68,,,,
VIX,13/05/1992,15.19,,,,
VIX,14/05/1992,15.49,,,,
VIX,15/05/1992,14.82,,,,
VIX,18/05/1992,14.62,,,,
VIX,19/05/1992,13.57,,,,
VIX,20/05/1992,13.62,,,,
VIX,21/05/1992,13.92,,,,
VIX,22/05/1992,13.73,,,,
VIX,25/05/1992,.,,,,
VIX,26/05/1992,14.92,,,,
VIX,27/05/1992,13.99,,,,
VIX,28/05/1992,13.77,,,,
VIX,29/05/1992,13.86,,,,
VIX,01/06/1992,14.43,,,,
VIX,02/06/1992,14.57,,,,
VIX,03/06/1992,14.35,,,,
VIX,04/06/1992,13.66,,,,
VIX,05/06/1992,14.65,,,,
VIX,08/06/1992,15.19,,,,
VIX,09/06/1992,15.97,,,,
VIX,10/06/1992,16.62,,,,
VIX,11/06/1992,16.29,,,,
VIX,12/06/1992,14.95,,,,
VIX,15/06/1992,14.76,,,,
VIX,16/06/1992,15.22,,,,
VIX,17/06/1992,18.08,,,,
VIX,18/06/1992,18.2,,,,
VIX,19/06/1992,16.31,,,,
VIX,22/06/1992,16.66,,,,
VIX,23/06/1992,14.53,,,,
VIX,24/06/1992,14.4,,,,
VIX,25/06/1992,14.4,,,,
VIX,26/06/1992,14.67,,,,
VIX,29/06/1992,13.21,,,,
VIX,30/06/1992,13.35,,,,
VIX,01/07/1992,13.34,,,,
VIX,02/07/1992,13.88,,,,
VIX,03/07/1992,.,,,,
VIX,06/07/1992,14.87,,,,
VIX,07/07/1992,15.83,,,,
VIX,08/07/1992,15.53,,,,
VIX,09/07/1992,14.6,,,,
VIX,10/07/1992,13.7,,,,
VIX,13/07/1992,14.01,,,,
VIX,14/07/1992,13.5,,,,
VIX,15/07/1992,12.52,,,,
VIX,16/07/1992,12.27,,,,
